RC_id,ADRF_id
dataset-408,adrf-000102
dataset-420,adrf-000044
dataset-420,adrf-000045
dataset-420,adrf-000046
dataset-275,adrf-000074
dataset-859,adrf-000091
dataset-410,adrf-000097
dataset-416,adrf-000101
dataset-001,adrf-000117
dataset-521,adrf-000119
dataset-521,adrf-000120
